price,time
13545.2,2018-01-01 20:12:02
13545.2,2018-01-01 20:12:05
13545.2,2018-01-01 20:12:06
13545.2,2018-01-01 20:12:07
13544.32,2018-01-01 20:12:10
13544.32,2018-01-01 20:12:12
13544.32,2018-01-01 20:12:13
13558.6,2018-01-01 20:12:14
13560.82,2018-01-01 20:12:15
13562.67,2018-01-01 20:12:16
13562.68,2018-01-01 20:12:17
13571.18,2018-01-01 20:12:18
13554.93,2018-01-01 20:12:19
13549.93,2018-01-01 20:12:20
13549.93,2018-01-01 20:12:21
13548.52,2018-01-01 20:12:22
13570.45,2018-01-01 20:12:23
13571.12,2018-01-01 20:12:24
13570.18,2018-01-01 20:12:25
13589.79,2018-01-01 20:12:26
13572.6,2018-01-01 20:12:33
13572.56,2018-01-01 20:12:34
13572.63,2018-01-01 20:12:36
13562.95,2018-01-01 20:12:39
13584.62,2018-01-01 20:12:40
13584.05,2018-01-01 20:12:43
13562.94,2018-01-01 20:12:44
13575.4,2018-01-01 20:12:45
13584.62,2018-01-01 20:12:46
13594.8,2018-01-01 20:12:48
13598.79,2018-01-01 20:12:49
13615.02,2018-01-01 20:12:50
13616.35,2018-01-01 20:12:51
13588.79,2018-01-01 20:12:52
13606.12,2018-01-01 20:12:53
13606.12,2018-01-01 20:12:54
13590.16,2018-01-01 20:12:55
13606.12,2018-01-01 20:12:58
13578.14,2018-01-01 20:13:03
13570.05,2018-01-01 20:13:04
13577.14,2018-01-01 20:13:05
13575.3,2018-01-01 20:13:06
13576.28,2018-01-01 20:13:07
13566.64,2018-01-01 20:13:09
13566.64,2018-01-01 20:13:10
13562.95,2018-01-01 20:13:11
13562.96,2018-01-01 20:13:12
13562.96,2018-01-01 20:13:13
13573.07,2018-01-01 20:13:15
13573.06,2018-01-01 20:13:16
13573.07,2018-01-01 20:13:18
13573.07,2018-01-01 20:13:19
13579.51,2018-01-01 20:13:20
13587.29,2018-01-01 20:13:21
13601.05,2018-01-01 20:13:23
13580.14,2018-01-01 20:13:24
13601.17,2018-01-01 20:13:25
13615.29,2018-01-01 20:13:26
13601.18,2018-01-01 20:13:27
13601.17,2018-01-01 20:13:28
13608.25,2018-01-01 20:13:31
13608.24,2018-01-01 20:13:32
13601.2,2018-01-01 20:13:33
13608.76,2018-01-01 20:13:34
13606.13,2018-01-01 20:13:36
13606.13,2018-01-01 20:13:37
13606.15,2018-01-01 20:13:38
13606.13,2018-01-01 20:13:39
13606.13,2018-01-01 20:13:41
13606.17,2018-01-01 20:13:44
13611.04,2018-01-01 20:13:49
13614.28,2018-01-01 20:13:50
13614.29,2018-01-01 20:13:53
13614.29,2018-01-01 20:13:55
13614.28,2018-01-01 20:13:56
13614.28,2018-01-01 20:13:57
13616.35,2018-01-01 20:14:00
13616.36,2018-01-01 20:14:01
13616.37,2018-01-01 20:14:02
13616.35,2018-01-01 20:14:03
13614.28,2018-01-01 20:14:04
13606.13,2018-01-01 20:14:08
13606.13,2018-01-01 20:14:11
13606.13,2018-01-01 20:14:12
13606.13,2018-01-01 20:14:13
13614.28,2018-01-01 20:14:15
13585.57,2018-01-01 20:14:18
13605.98,2018-01-01 20:14:27
13591.84,2018-01-01 20:14:28
13604.49,2018-01-01 20:14:29
13604.49,2018-01-01 20:14:30
13604.5,2018-01-01 20:14:31
13606.98,2018-01-01 20:14:32
13606.98,2018-01-01 20:14:33
13607.0,2018-01-01 20:14:34
13605.99,2018-01-01 20:14:35
13613.68,2018-01-01 20:14:36
13584.8,2018-01-01 20:14:37
13584.71,2018-01-01 20:14:38
13602.18,2018-01-01 20:14:39
13584.38,2018-01-01 20:14:47
13573.4,2018-01-01 20:14:51
13580.1,2018-01-01 20:14:52
13551.48,2018-01-01 20:15:10
13580.09,2018-01-01 20:15:11
13550.38,2018-01-01 20:15:28
13550.38,2018-01-01 20:15:30
13533.35,2018-01-01 20:15:31
13550.38,2018-01-01 20:15:34
13551.52,2018-01-01 20:15:37
13550.38,2018-01-01 20:15:39
13550.38,2018-01-01 20:15:41
13550.39,2018-01-01 20:15:50
13550.39,2018-01-01 20:15:52
13533.37,2018-01-01 20:15:53
13511.5,2018-01-01 20:15:54
13525.45,2018-01-01 20:15:57
13529.2,2018-01-01 20:16:00
13511.73,2018-01-01 20:16:02
13534.6,2018-01-01 20:16:04
13518.1,2018-01-01 20:16:10
13511.38,2018-01-01 20:16:14
13510.38,2018-01-01 20:16:15
13510.38,2018-01-01 20:16:16
13521.49,2018-01-01 20:16:17
13530.23,2018-01-01 20:16:20
13530.16,2018-01-01 20:16:21
13531.13,2018-01-01 20:16:23
13498.38,2018-01-01 20:16:24
13528.42,2018-01-01 20:16:26
13502.22,2018-01-01 20:16:27
13527.72,2018-01-01 20:16:51
13527.52,2018-01-01 20:16:52
13517.25,2018-01-01 20:16:53
13542.32,2018-01-01 20:16:54
13538.54,2018-01-01 20:17:03
13525.58,2018-01-01 20:17:15
13525.58,2018-01-01 20:17:19
13525.58,2018-01-01 20:17:23
13525.58,2018-01-01 20:17:24
13525.57,2018-01-01 20:17:27
13540.87,2018-01-01 20:17:34
13541.08,2018-01-01 20:17:36
13541.07,2018-01-01 20:17:38
13551.85,2018-01-01 20:17:43
13544.1,2018-01-01 20:17:44
13543.81,2018-01-01 20:17:45
13551.85,2018-01-01 20:17:49
13543.8,2018-01-01 20:18:00
13543.8,2018-01-01 20:18:01
13551.85,2018-01-01 20:18:04
13555.0,2018-01-01 20:18:05
13555.0,2018-01-01 20:18:06
13555.0,2018-01-01 20:18:07
13555.0,2018-01-01 20:18:08
13555.0,2018-01-01 20:18:13
13555.0,2018-01-01 20:18:15
13555.0,2018-01-01 20:18:17
13574.71,2018-01-01 20:18:18
13555.85,2018-01-01 20:18:38
13555.84,2018-01-01 20:18:40
13576.0,2018-01-01 20:18:41
13555.34,2018-01-01 20:18:48
13555.35,2018-01-01 20:18:50
13554.34,2018-01-01 20:18:59
13534.22,2018-01-01 20:19:05
13534.23,2018-01-01 20:19:11
13555.35,2018-01-01 20:19:28
13551.49,2018-01-01 20:19:33
13551.5,2018-01-01 20:19:35
13573.51,2018-01-01 20:19:50
13574.66,2018-01-01 20:19:52
13545.15,2018-01-01 20:20:00
13545.33,2018-01-01 20:20:01
13546.68,2018-01-01 20:20:10
13546.67,2018-01-01 20:20:11
13509.27,2018-01-01 20:20:24
13505.11,2018-01-01 20:20:25
13497.87,2018-01-01 20:20:26
13495.61,2018-01-01 20:20:27
13500.82,2018-01-01 20:20:28
13494.24,2018-01-01 20:20:29
13502.9,2018-01-01 20:20:31
13514.22,2018-01-01 20:20:36
13518.85,2018-01-01 20:20:40
13523.0,2018-01-01 20:20:41
13513.01,2018-01-01 20:20:42
13519.05,2018-01-01 20:20:49
13513.18,2018-01-01 20:20:53
13504.7,2018-01-01 20:20:54
13504.7,2018-01-01 20:20:55
13502.9,2018-01-01 20:20:56
13502.9,2018-01-01 20:20:57
13502.9,2018-01-01 20:20:58
13499.13,2018-01-01 20:20:59
13486.91,2018-01-01 20:21:02
13473.71,2018-01-01 20:21:03
13485.92,2018-01-01 20:21:04
13473.71,2018-01-01 20:21:05
13490.15,2018-01-01 20:21:06
13496.58,2018-01-01 20:21:07
13496.47,2018-01-01 20:21:16
13496.67,2018-01-01 20:21:18
13496.48,2018-01-01 20:21:19
13496.48,2018-01-01 20:21:20
13495.48,2018-01-01 20:21:31
13471.26,2018-01-01 20:21:35
13480.19,2018-01-01 20:21:37
13480.18,2018-01-01 20:21:38
13458.26,2018-01-01 20:21:40
13492.88,2018-01-01 20:21:41
13458.27,2018-01-01 20:21:42
13477.37,2018-01-01 20:21:46
13457.29,2018-01-01 20:21:49
13457.29,2018-01-01 20:21:50
13450.0,2018-01-01 20:21:51
13468.4,2018-01-01 20:21:54
13465.12,2018-01-01 20:21:57
13450.0,2018-01-01 20:22:00
13450.01,2018-01-01 20:22:01
13450.0,2018-01-01 20:22:02
13450.0,2018-01-01 20:22:03
13465.75,2018-01-01 20:22:05
13469.71,2018-01-01 20:22:06
13450.15,2018-01-01 20:22:08
13450.0,2018-01-01 20:22:09
13449.93,2018-01-01 20:22:17
13450.01,2018-01-01 20:22:19
13449.91,2018-01-01 20:22:23
13449.89,2018-01-01 20:22:30
13455.37,2018-01-01 20:22:31
13435.66,2018-01-01 20:22:33
13456.73,2018-01-01 20:22:34
13461.78,2018-01-01 20:22:35
13468.01,2018-01-01 20:22:36
13465.37,2018-01-01 20:22:37
13471.85,2018-01-01 20:22:38
13473.01,2018-01-01 20:22:46
13473.0,2018-01-01 20:22:48
13473.0,2018-01-01 20:22:51
13472.99,2018-01-01 20:22:52
13466.25,2018-01-01 20:22:53
13476.18,2018-01-01 20:23:00
13480.0,2018-01-01 20:23:03
13476.2,2018-01-01 20:23:04
13480.0,2018-01-01 20:23:05
13480.0,2018-01-01 20:23:06
13480.0,2018-01-01 20:23:07
13480.0,2018-01-01 20:23:08
13480.0,2018-01-01 20:23:09
13480.0,2018-01-01 20:23:10
13480.0,2018-01-01 20:23:11
13480.0,2018-01-01 20:23:12
13480.0,2018-01-01 20:23:13
13494.0,2018-01-01 20:23:16
13484.11,2018-01-01 20:23:22
13483.11,2018-01-01 20:23:23
13476.96,2018-01-01 20:23:24
13470.24,2018-01-01 20:23:25
13464.92,2018-01-01 20:23:26
13464.92,2018-01-01 20:23:27
13464.56,2018-01-01 20:23:28
13462.66,2018-01-01 20:23:29
13462.55,2018-01-01 20:23:30
13462.55,2018-01-01 20:23:31
13452.66,2018-01-01 20:23:47
13452.65,2018-01-01 20:23:48
13455.54,2018-01-01 20:24:02
13461.86,2018-01-01 20:24:16
13461.89,2018-01-01 20:24:21
13461.91,2018-01-01 20:24:35
13461.91,2018-01-01 20:24:38
13461.91,2018-01-01 20:24:40
13461.9,2018-01-01 20:24:48
13485.17,2018-01-01 20:24:51
13469.25,2018-01-01 20:24:52
13485.17,2018-01-01 20:24:55
13479.24,2018-01-01 20:24:56
13485.17,2018-01-01 20:24:57
13489.64,2018-01-01 20:24:58
13489.64,2018-01-01 20:25:00
13489.64,2018-01-01 20:25:02
13489.64,2018-01-01 20:25:08
13489.64,2018-01-01 20:25:09
